node,x,y,time,states
1,4020.0,3410.0,42.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4485.0,3403.0,42.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4993.0,3402.0,42.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,3610.0,48.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4480.0,3602.0,48.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4992.0,3598.0,48.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,3810.0,54.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4475.0,3801.0,54.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4991.0,3794.0,54.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,4020.0,4010.0,60.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4470.0,4000.0,60.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,4990.0,3990.0,60.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,3917.0,4108.0,66.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
2,4521.0,4098.0,66.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
3,5092.0,4089.0,66.0,"{(1, 2): 4, (3, 1): 3, (2, 3): 4}"
1,3814.0,4206.0,72.0,"{(1, 2): 4, (3, 1): 2, (2, 3): 4}"
2,4572.0,4196.0,72.0,"{(1, 2): 4, (3, 1): 2, (2, 3): 4}"
3,5194.0,4188.0,72.0,"{(1, 2): 4, (3, 1): 2, (2, 3): 4}"
1,3711.0,4304.0,78.0,"{(1, 2): 3, (3, 1): 2, (2, 3): 4}"
2,4623.0,4294.0,78.0,"{(1, 2): 3, (3, 1): 2, (2, 3): 4}"
3,5296.0,4287.0,78.0,"{(1, 2): 3, (3, 1): 2, (2, 3): 4}"
1,3608.0,4402.0,84.0,"{(1, 2): 3, (3, 1): 1, (2, 3): 4}"
2,4674.0,4392.0,84.0,"{(1, 2): 3, (3, 1): 1, (2, 3): 4}"
3,5398.0,4386.0,84.0,"{(1, 2): 3, (3, 1): 1, (2, 3): 4}"
1,3505.0,4500.0,90.0,"{(1, 2): 2, (3, 1): 1, (2, 3): 4}"
2,4725.0,4490.0,90.0,"{(1, 2): 2, (3, 1): 1, (2, 3): 4}"
3,5500.0,4485.0,90.0,"{(1, 2): 2, (3, 1): 1, (2, 3): 4}"
1,3402.0,4598.0,96.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 3}"
2,4776.0,4588.0,96.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 3}"
3,5602.0,4584.0,96.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 3}"
1,3299.0,4696.0,102.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 3}"
2,4827.0,4686.0,102.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 3}"
3,5704.0,4683.0,102.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 3}"
1,3196.0,4794.0,108.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
2,4878.0,4784.0,108.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
3,5806.0,4782.0,108.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
1,3093.0,4892.0,114.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
2,4929.0,4882.0,114.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
3,5908.0,4881.0,114.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
1,2990.0,4990.0,120.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
2,4980.0,4980.0,120.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
3,6010.0,4980.0,120.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 3}"
1,2887.0,5091.0,126.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5080.0,5080.0,126.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6108.0,5077.0,126.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2784.0,5192.0,132.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5180.0,5180.0,132.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6206.0,5174.0,132.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2681.0,5293.0,138.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5280.0,5280.0,138.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6304.0,5271.0,138.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2578.0,5394.0,144.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5380.0,5380.0,144.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6402.0,5368.0,144.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2475.0,5495.0,150.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5480.0,5480.0,150.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6500.0,5465.0,150.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2372.0,5596.0,156.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5580.0,5580.0,156.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6598.0,5562.0,156.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2269.0,5697.0,162.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5680.0,5680.0,162.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6696.0,5659.0,162.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2166.0,5798.0,168.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5780.0,5780.0,168.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6794.0,5756.0,168.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2063.0,5899.0,174.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5880.0,5880.0,174.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6892.0,5853.0,174.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,1960.0,6000.0,180.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
2,5980.0,5980.0,180.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
3,6990.0,5950.0,180.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 3}"
1,2166.0,6201.0,192.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
2,5882.0,6183.0,192.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
3,7190.0,6155.0,192.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 2}"
1,2372.0,6402.0,204.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,5784.0,6386.0,204.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,7390.0,6360.0,204.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,2578.0,6603.0,216.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
2,5686.0,6589.0,216.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
3,7590.0,6565.0,216.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 1}"
1,2784.0,6804.0,228.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,5588.0,6792.0,228.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,7790.0,6770.0,228.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,2990.0,7005.0,240.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,5490.0,6995.0,240.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,7990.0,6975.0,240.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,3196.0,7206.0,252.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
2,5392.0,7198.0,252.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
3,8190.0,7180.0,252.0,"{(1, 2): 0, (3, 1): 0, (2, 3): 0}"
1,3402.0,7407.0,264.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 0}"
2,5294.0,7401.0,264.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 0}"
3,8390.0,7385.0,264.0,"{(1, 2): 1, (3, 1): 0, (2, 3): 0}"
1,3608.0,7608.0,276.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 0}"
2,5196.0,7604.0,276.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 0}"
3,8590.0,7590.0,276.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 0}"
1,3814.0,7809.0,288.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 0}"
2,5098.0,7807.0,288.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 0}"
3,8790.0,7795.0,288.0,"{(1, 2): 2, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,300.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
2,5000.0,8010.0,300.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
3,8990.0,8000.0,300.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,306.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
2,4950.0,8010.0,306.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
3,8900.0,8000.0,306.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,312.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
2,4900.0,8010.0,312.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
3,8810.0,8000.0,312.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,318.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
2,4850.0,8010.0,318.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
3,8720.0,8000.0,318.0,"{(1, 2): 3, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,324.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4800.0,8010.0,324.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8630.0,8000.0,324.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,330.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4750.0,8010.0,330.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8540.0,8000.0,330.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,336.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4700.0,8010.0,336.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8450.0,8000.0,336.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,342.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4650.0,8010.0,342.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8360.0,8000.0,342.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,348.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4600.0,8010.0,348.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8270.0,8000.0,348.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,354.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4550.0,8010.0,354.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8180.0,8000.0,354.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,360.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,360.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,8090.0,8000.0,360.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,366.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,366.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7990.0,8000.0,366.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,372.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,372.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7890.0,8000.0,372.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,378.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,378.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7790.0,8000.0,378.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,384.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,384.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7690.0,8000.0,384.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,390.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,390.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7590.0,8000.0,390.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,396.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,396.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7490.0,8000.0,396.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,402.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,402.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7390.0,8000.0,402.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,408.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,408.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7290.0,8000.0,408.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,414.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,414.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7190.0,8000.0,414.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,420.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,420.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,7090.0,8000.0,420.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,426.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,426.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,6940.0,8000.0,426.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,432.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,432.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,6790.0,8000.0,432.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,438.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
2,4500.0,8010.0,438.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
3,6640.0,8000.0,438.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 0}"
1,4020.0,8010.0,444.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
2,4500.0,8010.0,444.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
3,6490.0,8000.0,444.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
1,4020.0,8010.0,450.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
2,4500.0,8010.0,450.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
3,6340.0,8000.0,450.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
1,4020.0,8010.0,456.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
2,4500.0,8010.0,456.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
3,6190.0,8000.0,456.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 1}"
1,4020.0,8010.0,462.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 2}"
2,4500.0,8010.0,462.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 2}"
3,6040.0,8000.0,462.0,"{(1, 2): 4, (3, 1): 0, (2, 3): 2}"
1,4020.0,8010.0,468.0,"{(1, 2): 4, (3, 1): 1, (2, 3): 2}"
2,4500.0,8010.0,468.0,"{(1, 2): 4, (3, 1): 1, (2, 3): 2}"
3,5890.0,8000.0,468.0,"{(1, 2): 4, (3, 1): 1, (2, 3): 2}"
1,4020.0,8010.0,474.0,"{(1, 2): 4, (3, 1): 1, (2, 3): 2}"
2,4500.0,8010.0,474.0,"{(1, 2): 4, (3, 1): 1, (2, 3): 2}"
3,5740.0,8000.0,474.0,"{(1, 2): 4, (3, 1): 1, (2, 3): 2}"
1,4020.0,8010.0,480,"{(1, 2): 4, (3, 1): 2, (2, 3): 3}"
2,4500.0,8010.0,480,"{(1, 2): 4, (3, 1): 2, (2, 3): 3}"
3,5590.0,8000.0,480,"{(1, 2): 4, (3, 1): 2, (2, 3): 3}"
